Date,Series,Value
2013-01-01,Separations,4347
2013-02-01,Separations,4293
2013-03-01,Separations,4241
2013-04-01,Separations,4422
2013-05-01,Separations,4442
2013-06-01,Separations,4307
2013-07-01,Separations,4421
2013-08-01,Separations,4493
2013-09-01,Separations,4519
2013-10-01,Separations,4350
2013-11-01,Separations,4367
2013-12-01,Separations,4392
2014-01-01,Separations,4435
2014-02-01,Separations,4549
2014-03-01,Separations,4518
2014-04-01,Separations,4597
2014-05-01,Separations,4572
2014-06-01,Separations,4612
2014-07-01,Separations,4748
2014-08-01,Separations,4623
2014-09-01,Separations,4855
2014-10-01,Separations,4937
2014-11-01,Separations,4682
2014-12-01,Separations,4827
2015-01-01,Separations,4886
2015-02-01,Separations,4869
2015-03-01,Separations,5102
2015-04-01,Separations,4944
2015-05-01,Separations,4825
2015-06-01,Separations,4978
2015-07-01,Separations,4848
2015-08-01,Separations,5032
2015-09-01,Separations,5110
2015-10-01,Separations,5032
2015-11-01,Separations,5089
2015-12-01,Separations,5225
2016-01-01,Separations,5099
2016-02-01,Separations,5265
2016-03-01,Separations,5133
2016-04-01,Separations,5110
2016-05-01,Separations,5176
2016-06-01,Separations,5118
2016-07-01,Separations,5065
2016-08-01,Separations,5204
2016-09-01,Separations,4985
2016-10-01,Separations,5125
2016-11-01,Separations,5139
2016-12-01,Separations,5071
2017-01-01,Separations,5320
2017-02-01,Separations,5176
2017-03-01,Separations,5280
2017-04-01,Separations,5091
2017-05-01,Separations,5270
2017-06-01,Separations,5463
2017-07-01,Separations,5338
2017-08-01,Separations,5334
2017-09-01,Separations,5289
2017-10-01,Separations,5397
2017-11-01,Separations,5283
2017-12-01,Separations,5249
2018-01-01,Separations,5288
2018-02-01,Separations,5319
2018-03-01,Separations,5500
2018-04-01,Separations,5441
2018-05-01,Separations,5492
2018-06-01,Separations,5566
2018-07-01,Separations,5577
2018-08-01,Separations,5543
2018-09-01,Separations,5494
2018-10-01,Separations,5602
2018-11-01,Separations,5793
2018-12-01,Separations,5554
2019-01-01,Separations,5521
2019-02-01,Separations,5703
2019-03-01,Separations,5557
2019-04-01,Separations,5766
2019-05-01,Separations,5542
2019-06-01,Separations,5586
2019-07-01,Separations,5795
2019-08-01,Separations,5631
2019-09-01,Separations,5727
2019-10-01,Separations,5603
2019-11-01,Separations,5674
2019-12-01,Separations,5828
2020-01-01,Separations,5714
2020-02-01,Separations,5779
2020-03-01,Separations,16313
2020-04-01,Separations,11542
2020-05-01,Separations,4757
2020-06-01,Separations,5171
2020-07-01,Separations,5195
2020-08-01,Separations,4879
2020-09-01,Separations,5118
2020-10-01,Separations,5362
2020-11-01,Separations,5718
2020-12-01,Separations,5644
2021-01-01,Separations,5164
2021-02-01,Separations,5382
2021-03-01,Separations,5494
2021-04-01,Separations,5714
2021-05-01,Separations,5508
2021-06-01,Separations,5737
2021-07-01,Separations,5841
2021-08-01,Separations,5839
2021-09-01,Separations,6067
2021-10-01,Separations,5927
2021-11-01,Separations,6227
2021-12-01,Separations,6131
2022-01-01,Separations,6235
2022-02-01,Separations,6071
2022-03-01,Separations,6194
2022-04-01,Separations,6175
2022-05-01,Separations,6025
2022-06-01,Separations,5991
2022-07-01,Separations,5864
2022-08-01,Separations,6244
2022-09-01,Separations,5810
2022-10-01,Separations,5846
2022-11-01,Separations,5945
2022-12-01,Separations,5906
2023-01-01,Separations,5900
2023-02-01,Separations,5841
2023-03-01,Separations,5994
2023-04-01,Separations,5660
2023-05-01,Separations,5925
2023-06-01,Separations,5637
2013-01-01,Hires,4487
2013-02-01,Hires,4571
2013-03-01,Hires,4369
2013-04-01,Hires,4572
2013-05-01,Hires,4663
2013-06-01,Hires,4440
2013-07-01,Hires,4561
2013-08-01,Hires,4730
2013-09-01,Hires,4726
2013-10-01,Hires,4518
2013-11-01,Hires,4622
2013-12-01,Hires,4614
2014-01-01,Hires,4626
2014-02-01,Hires,4696
2014-03-01,Hires,4763
2014-04-01,Hires,4880
2014-05-01,Hires,4808
2014-06-01,Hires,4925
2014-07-01,Hires,5008
2014-08-01,Hires,4810
2014-09-01,Hires,5149
2014-10-01,Hires,5111
2014-11-01,Hires,4978
2014-12-01,Hires,5192
2015-01-01,Hires,5061
2015-02-01,Hires,5127
2015-03-01,Hires,5126
2015-04-01,Hires,5196
2015-05-01,Hires,5142
2015-06-01,Hires,5125
2015-07-01,Hires,5150
2015-08-01,Hires,5163
2015-09-01,Hires,5287
2015-10-01,Hires,5338
2015-11-01,Hires,5358
2015-12-01,Hires,5540
2016-01-01,Hires,5220
2016-02-01,Hires,5470
2016-03-01,Hires,5359
2016-04-01,Hires,5294
2016-05-01,Hires,5197
2016-06-01,Hires,5281
2016-07-01,Hires,5426
2016-08-01,Hires,5327
2016-09-01,Hires,5306
2016-10-01,Hires,5210
2016-11-01,Hires,5308
2016-12-01,Hires,5343
2017-01-01,Hires,5499
2017-02-01,Hires,5350
2017-03-01,Hires,5395
2017-04-01,Hires,5272
2017-05-01,Hires,5477
2017-06-01,Hires,5635
2017-07-01,Hires,5497
2017-08-01,Hires,5519
2017-09-01,Hires,5450
2017-10-01,Hires,5581
2017-11-01,Hires,5494
2017-12-01,Hires,5421
2018-01-01,Hires,5512
2018-02-01,Hires,5624
2018-03-01,Hires,5623
2018-04-01,Hires,5590
2018-05-01,Hires,5859
2018-06-01,Hires,5760
2018-07-01,Hires,5649
2018-08-01,Hires,5815
2018-09-01,Hires,5625
2018-10-01,Hires,5907
2018-11-01,Hires,5826
2018-12-01,Hires,5768
2019-01-01,Hires,5814
2019-02-01,Hires,5680
2019-03-01,Hires,5698
2019-04-01,Hires,6011
2019-05-01,Hires,5725
2019-06-01,Hires,5768
2019-07-01,Hires,5886
2019-08-01,Hires,5914
2019-09-01,Hires,5973
2019-10-01,Hires,5805
2019-11-01,Hires,5868
2019-12-01,Hires,5913
2020-01-01,Hires,6014
2020-02-01,Hires,5998
2020-03-01,Hires,5172
2020-04-01,Hires,4052
2020-05-01,Hires,8098
2020-06-01,Hires,7488
2020-07-01,Hires,6255
2020-08-01,Hires,5938
2020-09-01,Hires,5949
2020-10-01,Hires,6135
2020-11-01,Hires,5906
2020-12-01,Hires,5598
2021-01-01,Hires,5647
2021-02-01,Hires,5864
2021-03-01,Hires,6105
2021-04-01,Hires,6170
2021-05-01,Hires,6036
2021-06-01,Hires,6543
2021-07-01,Hires,6555
2021-08-01,Hires,6415
2021-09-01,Hires,6629
2021-10-01,Hires,6667
2021-11-01,Hires,6843
2021-12-01,Hires,6632
2022-01-01,Hires,6496
2022-02-01,Hires,6800
2022-03-01,Hires,6577
2022-04-01,Hires,6572
2022-05-01,Hires,6545
2022-06-01,Hires,6448
2022-07-01,Hires,6340
2022-08-01,Hires,6478
2022-09-01,Hires,6226
2022-10-01,Hires,6164
2022-11-01,Hires,6253
2022-12-01,Hires,6251
2023-01-01,Hires,6327
2023-02-01,Hires,6150
2023-03-01,Hires,6066
2023-04-01,Hires,6101
2023-05-01,Hires,6231
2023-06-01,Hires,5905
,,
