RTA ID,RTA Name,Country,Entry Date,Exit Date,Country_ISO3
360,South Africa - Southern Rhodesia Customs Union ,South Africa,1949-04-01,,ZAF
360,South Africa - Southern Rhodesia Customs Union ,Zimbabwe,1949-04-01,,ZWE
297,El Salvador - Nicaragua Free Trade Area,El Salvador,1951-08-21,,SLV
297,El Salvador - Nicaragua Free Trade Area,Nicaragua,1951-08-21,,NIC
120,EU Treaty,Austria,1995-01-01,,AUT
120,EU Treaty,Bulgaria,2007-01-01,,BGR
120,EU Treaty,Croatia,2013-07-01,,HRV
120,EU Treaty,Cyprus,2004-05-01,,CYP
120,EU Treaty,Czech Republic,2004-05-01,,CZE
120,EU Treaty,Denmark,1973-01-01,,DNK
120,EU Treaty,Estonia,2004-05-01,,EST
120,EU Treaty,Finland,1995-01-01,,FIN
120,EU Treaty,Greece,1981-01-01,,GRC
120,EU Treaty,Hungary,2004-05-01,,HUN
120,EU Treaty,Ireland,1973-01-01,,IRL
120,EU Treaty,Latvia,2004-05-01,,LVA
120,EU Treaty,Lithuania,2004-05-01,,LTU
120,EU Treaty,Malta,2004-05-01,,MLT
120,EU Treaty,Poland,2004-05-01,,POL
120,EU Treaty,Portugal,1986-01-01,,PRT
120,EU Treaty,Romania,2007-01-01,,ROU
120,EU Treaty,Slovak Republic,2004-05-01,,SVK
120,EU Treaty,Slovenia,2004-05-01,,SVN
120,EU Treaty,Spain,1986-01-01,,ESP
120,EU Treaty,Sweden,1995-01-01,,SWE
120,EU Treaty,United Kingdom,1973-01-01,2020-12-31,GBR
120,EU Treaty,Belgium,1958-01-01,,BEL
120,EU Treaty,France,1958-01-01,,FRA
120,EU Treaty,Germany,1958-01-01,,DEU
120,EU Treaty,Italy,1958-01-01,,ITA
120,EU Treaty,Luxembourg,1958-01-01,,LUX
120,EU Treaty,Netherlands,1958-01-01,,NLD
214,Central American Free Trade Area,Costa Rica,1959-06-02,,CRI
214,Central American Free Trade Area,El Salvador,1959-06-02,,SLV
214,Central American Free Trade Area,Guatemala,1959-06-02,,GTM
214,Central American Free Trade Area,Honduras,1959-06-02,,HND
214,Central American Free Trade Area,Nicaragua,1959-06-02,,NIC
152,European Free Trade Association (EFTA),Austria,1960-05-03,1994-12-31,AUT
152,European Free Trade Association (EFTA),Denmark,1960-05-03,1972-12-31,DNK
152,European Free Trade Association (EFTA),Finland,1986-01-01,1994-12-31,FIN
152,European Free Trade Association (EFTA),Iceland,1970-03-01,,ISL
152,European Free Trade Association (EFTA),Liechtenstein,1991-01-01,,LIE
152,European Free Trade Association (EFTA),Portugal,1960-05-03,1985-12-31,PRT
152,European Free Trade Association (EFTA),Sweden,1960-05-03,1994-12-31,SWE
152,European Free Trade Association (EFTA),United Kingdom,1960-05-03,1972-12-31,GBR
152,European Free Trade Association (EFTA),Norway,1960-05-03,,NOR
152,European Free Trade Association (EFTA),Switzerland,1960-05-03,,CHE
324,Latin American Free Trade Association (LAFTA),Argentina,1961-06-02,,ARG
324,Latin American Free Trade Association (LAFTA),Brazil,1961-06-02,,BRA
324,Latin American Free Trade Association (LAFTA),Chile,1961-06-02,,CHL
324,Latin American Free Trade Association (LAFTA),Mexico,1961-06-02,,MEX
324,Latin American Free Trade Association (LAFTA),Paraguay,1961-06-02,,PRY
324,Latin American Free Trade Association (LAFTA),Peru,1961-06-02,,PER
324,Latin American Free Trade Association (LAFTA),Uruguay,1961-06-02,,URY
151,Central American Common Market (CACM),Costa Rica,1963-09-23,,CRI
151,Central American Common Market (CACM),Honduras,1962-04-27,,HND
151,Central American Common Market (CACM),Panama,2013-05-06,,PAN
151,Central American Common Market (CACM),El Salvador,1961-06-04,,SLV
151,Central American Common Market (CACM),Guatemala,1961-06-04,,GTM
151,Central American Common Market (CACM),Nicaragua,1961-06-04,,NIC
313,Finland-European Free Trade Association (FINEFTA),Austria,1961-06-26,,AUT
313,Finland-European Free Trade Association (FINEFTA),Denmark,1961-06-26,,DNK
313,Finland-European Free Trade Association (FINEFTA),Finland,1961-06-26,,FIN
313,Finland-European Free Trade Association (FINEFTA),Norway,1961-06-26,,NOR
313,Finland-European Free Trade Association (FINEFTA),Portugal,1961-06-26,,PRT
313,Finland-European Free Trade Association (FINEFTA),Sweden,1961-06-26,,SWE
313,Finland-European Free Trade Association (FINEFTA),Switzerland,1961-06-26,,CHE
313,Finland-European Free Trade Association (FINEFTA),United Kingdom,1961-06-26,,GBR
201,Borneo Free Trade Area,nan,1962-01-01,,not found
315,Ghana - Upper Volta Trade Agreement,Ghana,1962-05-09,,GHA
315,Ghana - Upper Volta Trade Agreement,Burkina Faso,1962-05-09,,BFA
298,Equatorial Customs Union - Cameroon Association,Cameroon,1962-07-01,,CMR
298,Equatorial Customs Union - Cameroon Association,Central African Republic,1962-07-01,,CAF
298,Equatorial Customs Union - Cameroon Association,Chad,1962-07-01,,TCD
298,Equatorial Customs Union - Cameroon Association,Congo,1962-07-01,,COG
298,Equatorial Customs Union - Cameroon Association,Gabon,1962-07-01,,GAB
247,EEC - Greece Association Agreement,Belgium,1962-11-01,,BEL
247,EEC - Greece Association Agreement,France,1962-11-01,,FRA
247,EEC - Greece Association Agreement,Germany,1962-11-01,,DEU
247,EEC - Greece Association Agreement,Greece,1962-11-01,,GRC
