Year,Selector,Union_Membership
1995,Overall,32.4
1996,Overall,31.4
1997,Overall,30.7
1998,Overall,29.9
1999,Overall,29.7
2000,Overall,29.8
2001,Overall,29.3
2002,Overall,28.8
2003,Overall,29.3
2004,Overall,28.8
2005,Overall,28.6
2006,Overall,28.3
2007,Overall,28
2008,Overall,27.5
2009,Overall,27.4
2010,Overall,26.6
2011,Overall,26
2012,Overall,26.1
2013,Overall,25.6
2014,Overall,25
2015,Overall,24.7
2016,Overall,23.5
2017,Overall,23.3
2018,Overall,23.4
2019,Overall,23.5
2020,Overall,23.7
2021,Overall,23.1
1995,Male,35
1996,Male,33.3
1997,Male,32.1
1998,Male,31.2
1999,Male,30.9
2000,Male,30.4
2001,Male,29.9
2002,Male,28.7
2003,Male,29.1
2004,Male,28.5
2005,Male,27.7
2006,Male,27.1
2007,Male,26.5
2008,Male,25.7
2009,Male,25.3
2010,Male,23.9
2011,Male,23.4
2012,Male,23.5
2013,Male,23
2014,Male,22.3
2015,Male,21.8
2016,Male,21.2
2017,Male,21
2018,Male,20.7
2019,Male,20.1
2020,Male,20.3
2021,Male,20
1995,Female,29.7
1996,Female,29.5
1997,Female,29.3
1998,Female,28.6
1999,Female,28.4
2000,Female,29.1
2001,Female,28.6
2002,Female,29
2003,Female,29.6
2004,Female,29.2
2005,Female,29.6
2006,Female,29.6
2007,Female,29.6
2008,Female,29.3
2009,Female,29.6
2010,Female,29.4
2011,Female,28.6
2012,Female,28.7
2013,Female,28.3
2014,Female,27.7
2015,Female,27.7
2016,Female,26
2017,Female,25.6
2018,Female,26.2
2019,Female,27
2020,Female,27.2
2021,Female,26.3
