Percentile,Tax,After Tax,,,,,
1,After,"12,700",,,,,
2,After,"12,900",,,,,
3,After,"13,200",,,,,
4,After,"13,400",,,,,
5,After,"13,600",,,,,
6,After,"13,800",,,,,
7,After,"14,000",,,,,
8,After,"14,300",,,,,
9,After,"14,500",,,,,
10,After,"14,700",,,,,
11,After,"14,900",,,,,
12,After,"15,100",,,,,
13,After,"15,300",,,,,
14,After,"15,500",,,,,
15,After,"15,700",,,,,
16,After,"15,900",,,,,
17,After,"16,100",,,,,
18,After,"16,300",,,,,
19,After,"16,500",,,,,
20,After,"16,700",,,,,
21,After,"16,900",,,,,
22,After,"17,100",,,,,
23,After,"17,300",,,,,
24,After,"17,500",,,,,
25,After,"17,700",,,,,
26,After,"17,900",,,,,
27,After,"18,100",,,,,
28,After,"18,300",,,,,
29,After,"18,500",,,,,
30,After,"18,700",,,,,
31,After,"19,000",,,,,
32,After,"19,200",,,,,
33,After,"19,400",,,,,
34,After,"19,600",,,,,
35,After,"19,800",,,,,
36,After,"20,100",,,,,
37,After,"20,300",,,,,
38,After,"20,600",,,,,
39,After,"20,800",,,,,
40,After,"21,100",,,,,
41,After,"21,300",,,,,
42,After,"21,600",,,,,
43,After,"21,800",,,,,
44,After,"22,100",,,,,
45,After,"22,400",,,,,
46,After,"22,600",,,,,
47,After,"22,900",,,,,
48,After,"23,200",,,,,
49,After,"23,500",,,,,
50,After,"23,800",,,,,
51,After,"24,100",,,,,
52,After,"24,400",,,,,
53,After,"24,700",,,,,
54,After,"25,100",,,,,
55,After,"25,400",,,,,
56,After,"25,800",,,,,
57,After,"26,100",,,,,
58,After,"26,500",,,,,
59,After,"26,800",,,,,
60,After,"27,200",,,,,
61,After,"27,600",,,,,
62,After,"28,000",,,,,
63,After,"28,400",,,,,
64,After,"28,800",,,,,
65,After,"29,300",,,,,
66,After,"29,700",,,,,
67,After,"30,200",,,,,
68,After,"30,700",,,,,
69,After,"31,300",,,,,
70,After,"31,800",,,,,
71,After,"32,300",,,,,
72,After,"32,900",,,,,
73,After,"33,500",,,,,
74,After,"34,100",,,,,
75,After,"34,800",,,,,
76,After,"35,500",,,,,
77,After,"36,200",,,,,
78,After,"36,900",,,,,
79,After,"37,700",,,,,
80,After,"38,500",,,,,
81,After,"39,400",,,,,
82,After,"40,300",,,,,
83,After,"41,200",,,,,
84,After,"42,300",,,,,
85,After,"43,300",,,,,
86,After,"44,400",,,,,
87,After,"45,500",,,,,
88,After,"46,600",,,,,
89,After,"47,700",,,,,
