Year,Selector1,Union_Membership,Selector2,
1994,Overall,15.5,Overall,
1995,Overall,14.9,Overall,
1996,Overall,14.5,Overall,
1997,Overall,14.1,Overall,
1998,Overall,13.9,Overall,
1999,Overall,13.9,Overall,
2000,Overall,13.5,Overall,
2001,Overall,13.4,Overall,
2002,Overall,13.2,Overall,
2003,Overall,12.9,Overall,
2004,Overall,12.5,Overall,
2005,Overall,12.5,Overall,
2006,Overall,12.0,Overall,
2007,Overall,12.1,Overall,
2008,Overall,12.4,Overall,
2009,Overall,12.3,Overall,
2010,Overall,11.9,Overall,
2011,Overall,11.8,Overall,
2012,Overall,11.3,Overall,
2013,Overall,11.3,Overall,
2014,Overall,11.1,Overall,
2015,Overall,11.1,Overall,
2016,Overall,10.7,Overall,
2017,Overall,10.7,Overall,
2018,Overall,10.5,Overall,
2019,Overall,10.3,Overall,
2020,Overall,10.8,Overall,
2021,Overall,10.3,Overall,
2022,Overall,10.1,Overall,
1994,Male,17.9,Gender,
1995,Male,17.2,Gender,
1996,Male,16.9,Gender,
1997,Male,16.3,Gender,
1998,Male,16.2,Gender,
1999,Male,16.1,Gender,
2000,Male,15.2,Gender,
2001,Male,15.0,Gender,
2002,Male,14.7,Gender,
2003,Male,14.3,Gender,
2004,Male,13.8,Gender,
2005,Male,13.5,Gender,
2006,Male,13.0,Gender,
2007,Male,13.0,Gender,
2008,Male,13.4,Gender,
2009,Male,13.3,Gender,
2010,Male,12.6,Gender,
2011,Male,12.4,Gender,
2012,Male,12.0,Gender,
2013,Male,11.9,Gender,
2014,Male,11.7,Gender,
2015,Male,11.5,Gender,
2016,Male,11.2,Gender,
2017,Male,11.4,Gender,
2018,Male,11.1,Gender,
2019,Male,10.8,Gender,
2020,Male,11.0,Gender,
2021,Male,10.6,Gender,
2022,Male,10.5,Gender,
1994,Female,12.9,Gender,
1995,Female,12.3,Gender,
1996,Female,12.0,Gender,
1997,Female,11.6,Gender,
1998,Female,11.4,Gender,
1999,Female,11.4,Gender,
2000,Female,11.5,Gender,
2001,Female,11.6,Gender,
2002,Female,11.6,Gender,
2003,Female,11.4,Gender,
2004,Female,11.1,Gender,
2005,Female,11.3,Gender,
2006,Female,10.9,Gender,
2007,Female,11.1,Gender,
2008,Female,11.4,Gender,
2009,Female,11.3,Gender,
2010,Female,11.1,Gender,
2011,Female,11.2,Gender,
2012,Female,10.5,Gender,
2013,Female,10.5,Gender,
2014,Female,10.5,Gender,
2015,Female,10.6,Gender,
2016,Female,10.2,Gender,
2017,Female,10.0,Gender,
2018,Female,9.9,Gender,
2019,Female,9.7,Gender,
2020,Female,10.5,Gender,
2021,Female,9.9,Gender,
2022,Female,9.6,Gender,
1994,White,14.8,Ethnicity,
1995,White,14.2,Ethnicity,
1996,White,14.0,Ethnicity,
1997,White,13.6,Ethnicity,
1998,White,13.5,Ethnicity,
1999,White,13.5,Ethnicity,
2000,White,13.0,Ethnicity,
