Month,Job openings rate,Unemployment rate,Period,Decade,Predident
Dec-00,0.037,0.039,Dec 2000 - Nov 2001,2000s,Clinton
Jan-01,0.038,0.042,Dec 2000 - Nov 2001,2000s,Clinton
Feb-01,0.037,0.042,Dec 2000 - Nov 2001,2000s,W Bush
Mar-01,0.035,0.043,Dec 2000 - Nov 2001,2000s,W Bush
Apr-01,0.034,0.044,Dec 2000 - Nov 2001,2000s,W Bush
May-01,0.032,0.043,Dec 2000 - Nov 2001,2000s,W Bush
Jun-01,0.032,0.045,Dec 2000 - Nov 2001,2000s,W Bush
Jul-01,0.033,0.046,Dec 2000 - Nov 2001,2000s,W Bush
Aug-01,0.030,0.049,Dec 2000 - Nov 2001,2000s,W Bush
Sep-01,0.030,0.050,Dec 2000 - Nov 2001,2000s,W Bush
Oct-01,0.027,0.053,Dec 2000 - Nov 2001,2000s,W Bush
Nov-01,0.028,0.055,Dec 2000 - Nov 2001,2000s,W Bush
Dec-01,0.027,0.057,Dec 2001 - Nov 2007,2000s,W Bush
Jan-02,0.027,0.057,Dec 2001 - Nov 2007,2000s,W Bush
Feb-02,0.026,0.057,Dec 2001 - Nov 2007,2000s,W Bush
Mar-02,0.027,0.057,Dec 2001 - Nov 2007,2000s,W Bush
Apr-02,0.026,0.059,Dec 2001 - Nov 2007,2000s,W Bush
May-02,0.026,0.058,Dec 2001 - Nov 2007,2000s,W Bush
Jun-02,0.025,0.058,Dec 2001 - Nov 2007,2000s,W Bush
Jul-02,0.025,0.058,Dec 2001 - Nov 2007,2000s,W Bush
Aug-02,0.026,0.057,Dec 2001 - Nov 2007,2000s,W Bush
Sep-02,0.025,0.057,Dec 2001 - Nov 2007,2000s,W Bush
Oct-02,0.026,0.057,Dec 2001 - Nov 2007,2000s,W Bush
Nov-02,0.026,0.059,Dec 2001 - Nov 2007,2000s,W Bush
Dec-02,0.024,0.060,Dec 2001 - Nov 2007,2000s,W Bush
Jan-03,0.026,0.058,Dec 2001 - Nov 2007,2000s,W Bush
Feb-03,0.024,0.059,Dec 2001 - Nov 2007,2000s,W Bush
Mar-03,0.023,0.059,Dec 2001 - Nov 2007,2000s,W Bush
Apr-03,0.023,0.060,Dec 2001 - Nov 2007,2000s,W Bush
May-03,0.025,0.061,Dec 2001 - Nov 2007,2000s,W Bush
Jun-03,0.025,0.063,Dec 2001 - Nov 2007,2000s,W Bush
Jul-03,0.022,0.062,Dec 2001 - Nov 2007,2000s,W Bush
Aug-03,0.024,0.061,Dec 2001 - Nov 2007,2000s,W Bush
Sep-03,0.023,0.061,Dec 2001 - Nov 2007,2000s,W Bush
Oct-03,0.025,0.060,Dec 2001 - Nov 2007,2000s,W Bush
Nov-03,0.025,0.058,Dec 2001 - Nov 2007,2000s,W Bush
Dec-03,0.025,0.057,Dec 2001 - Nov 2007,2000s,W Bush
Jan-04,0.026,0.057,Dec 2001 - Nov 2007,2000s,W Bush
Feb-04,0.026,0.056,Dec 2001 - Nov 2007,2000s,W Bush
Mar-04,0.026,0.058,Dec 2001 - Nov 2007,2000s,W Bush
Apr-04,0.026,0.056,Dec 2001 - Nov 2007,2000s,W Bush
May-04,0.027,0.056,Dec 2001 - Nov 2007,2000s,W Bush
Jun-04,0.025,0.056,Dec 2001 - Nov 2007,2000s,W Bush
Jul-04,0.028,0.055,Dec 2001 - Nov 2007,2000s,W Bush
Aug-04,0.026,0.054,Dec 2001 - Nov 2007,2000s,W Bush
Sep-04,0.028,0.054,Dec 2001 - Nov 2007,2000s,W Bush
Oct-04,0.029,0.055,Dec 2001 - Nov 2007,2000s,W Bush
Nov-04,0.026,0.054,Dec 2001 - Nov 2007,2000s,W Bush
Dec-04,0.030,0.054,Dec 2001 - Nov 2007,2000s,W Bush
Jan-05,0.028,0.053,Dec 2001 - Nov 2007,2000s,W Bush
Feb-05,0.029,0.054,Dec 2001 - Nov 2007,2000s,W Bush
Mar-05,0.029,0.052,Dec 2001 - Nov 2007,2000s,W Bush
Apr-05,0.030,0.052,Dec 2001 - Nov 2007,2000s,W Bush
May-05,0.028,0.051,Dec 2001 - Nov 2007,2000s,W Bush
