"LOCATION","Country","MEASURE","Measure","AGE","Age group","DEFINITION","Definition","METHODO","Methodology","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","AUD","Australian Dollar","0","Units",,,45651,,
"AUS","Australia","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","AUD","Australian Dollar","0","Units",,,48537,,
"AUS","Australia","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,49154,,
"AUS","Australia","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,51935,,
"AUS","Australia","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","AUD","Australian Dollar","0","Units",,,55919,,
"AUS","Australia","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1995","1995","AUD","Australian Dollar","0","Units",,,18662,,
"AUS","Australia","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2000","2000","AUD","Australian Dollar","0","Units",,,22201,,
"AUS","Australia","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","AUD","Australian Dollar","0","Units",,,28874,,
"AUS","Australia","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","AUD","Australian Dollar","0","Units",,,40435,,
"AUS","Australia","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","AUD","Australian Dollar","0","Units",,,42048,,
"AUS","Australia","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","AUD","Australian Dollar","0","Units",,,46161,,
"AUT","Austria","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2007","2007","EUR","Euro","0","Units",,,21661,,
"AUT","Austria","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2008","2008","EUR","Euro","0","Units",,,22945,,
"AUT","Austria","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2009","2009","EUR","Euro","0","Units",,,23471,,
"AUT","Austria","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2010","2010","EUR","Euro","0","Units",,,23843,,
"AUT","Austria","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","EUR","Euro","0","Units",,,24391,,
"AUT","Austria","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","EUR","Euro","0","Units",,,24750,,
"AUT","Austria","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","EUR","Euro","0","Units",,,25568,,
"AUT","Austria","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","EUR","Euro","0","Units",,,25932,,
"AUT","Austria","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","EUR","Euro","0","Units",,,26055,,
"AUT","Austria","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","EUR","Euro","0","Units",,,27516,,
"AUT","Austria","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","EUR","Euro","0","Units",,,27677,,
"AUT","Austria","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","EUR","Euro","0","Units",,,28265,,
"AUT","Austria","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","EUR","Euro","0","Units",,,29343,,
"BEL","Belgium","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","EUR","Euro","0","Units",,,27420,,
"BEL","Belgium","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","EUR","Euro","0","Units",,,28436,,
"BEL","Belgium","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","EUR","Euro","0","Units",,,17778,,
"BEL","Belgium","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","EUR","Euro","0","Units",,,18899,,
"BEL","Belgium","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","EUR","Euro","0","Units",,,19442,,
"BEL","Belgium","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","EUR","Euro","0","Units",,,19930,,
"BEL","Belgium","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","EUR","Euro","0","Units",,,21277,,
"BEL","Belgium","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","EUR","Euro","0","Units",,,21509,,
"BEL","Belgium","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","EUR","Euro","0","Units",,,22048,,
"BEL","Belgium","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2011","2011","EUR","Euro","0","Units",,,22173,,
"BEL","Belgium","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","EUR","Euro","0","Units",,,23798,,
"BEL","Belgium","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2013","2013","EUR","Euro","0","Units",,,23725,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1976","1976","CAD","Canadian Dollar","0","Units",,,7777,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1977","1977","CAD","Canadian Dollar","0","Units",,,8628,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1978","1978","CAD","Canadian Dollar","0","Units",,,9451,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1979","1979","CAD","Canadian Dollar","0","Units",,,10450,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1980","1980","CAD","Canadian Dollar","0","Units",,,11719,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1981","1981","CAD","Canadian Dollar","0","Units",,,12957,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1982","1982","CAD","Canadian Dollar","0","Units",,,13989,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1983","1983","CAD","Canadian Dollar","0","Units",,,14343,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1984","1984","CAD","Canadian Dollar","0","Units",,,15286,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1985","1985","CAD","Canadian Dollar","0","Units",,,16086,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1986","1986","CAD","Canadian Dollar","0","Units",,,16886,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1987","1987","CAD","Canadian Dollar","0","Units",,,17653,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1988","1988","CAD","Canadian Dollar","0","Units",,,18867,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1989","1989","CAD","Canadian Dollar","0","Units",,,20264,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1990","1990","CAD","Canadian Dollar","0","Units",,,20535,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1991","1991","CAD","Canadian Dollar","0","Units",,,20580,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1992","1992","CAD","Canadian Dollar","0","Units",,,20994,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1993","1993","CAD","Canadian Dollar","0","Units",,,21171,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1994","1994","CAD","Canadian Dollar","0","Units",,,21304,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1995","1995","CAD","Canadian Dollar","0","Units",,,21748,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1996","1996","CAD","Canadian Dollar","0","Units",,,22070,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1997","1997","CAD","Canadian Dollar","0","Units",,,22593,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1998","1998","CAD","Canadian Dollar","0","Units",,,23737,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1999","1999","CAD","Canadian Dollar","0","Units",,,24420,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2000","2000","CAD","Canadian Dollar","0","Units",,,25596,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2001","2001","CAD","Canadian Dollar","0","Units",,,27077,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2002","2002","CAD","Canadian Dollar","0","Units",,,27921,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2003","2003","CAD","Canadian Dollar","0","Units",,,28661,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2004","2004","CAD","Canadian Dollar","0","Units",,,29676,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2005","2005","CAD","Canadian Dollar","0","Units",,,30866,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2006","2006","CAD","Canadian Dollar","0","Units",,,32075,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2007","2007","CAD","Canadian Dollar","0","Units",,,33792,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2008","2008","CAD","Canadian Dollar","0","Units",,,35615,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2009","2009","CAD","Canadian Dollar","0","Units",,,35909,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2010","2010","CAD","Canadian Dollar","0","Units",,,36733,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","CAD","Canadian Dollar","0","Units",,,38205,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","CAD","Canadian Dollar","0","Units",,,39559,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","CAD","Canadian Dollar","0","Units",,,40130,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","CAD","Canadian Dollar","0","Units",,,41537,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","CAD","Canadian Dollar","0","Units",,,42345,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","CAD","Canadian Dollar","0","Units",,,43026,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","CAD","Canadian Dollar","0","Units",,,44710,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","CAD","Canadian Dollar","0","Units",,,46070,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","CAD","Canadian Dollar","0","Units",,,47759,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","CAD","Canadian Dollar","0","Units",,,50880,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1976","1976","CAD","Canadian Dollar","0","Units",,,7529,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1977","1977","CAD","Canadian Dollar","0","Units",,,8373,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1978","1978","CAD","Canadian Dollar","0","Units",,,9180,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1979","1979","CAD","Canadian Dollar","0","Units",,,10157,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1980","1980","CAD","Canadian Dollar","0","Units",,,11387,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1981","1981","CAD","Canadian Dollar","0","Units",,,12526,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1982","1982","CAD","Canadian Dollar","0","Units",,,13565,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1983","1983","CAD","Canadian Dollar","0","Units",,,13797,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1984","1984","CAD","Canadian Dollar","0","Units",,,14650,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1985","1985","CAD","Canadian Dollar","0","Units",,,15415,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1986","1986","CAD","Canadian Dollar","0","Units",,,16142,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1987","1987","CAD","Canadian Dollar","0","Units",,,16860,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1988","1988","CAD","Canadian Dollar","0","Units",,,18026,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1989","1989","CAD","Canadian Dollar","0","Units",,,19432,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1990","1990","CAD","Canadian Dollar","0","Units",,,19626,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1991","1991","CAD","Canadian Dollar","0","Units",,,19547,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1992","1992","CAD","Canadian Dollar","0","Units",,,19829,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1993","1993","CAD","Canadian Dollar","0","Units",,,19972,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1994","1994","CAD","Canadian Dollar","0","Units",,,20051,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1995","1995","CAD","Canadian Dollar","0","Units",,,20509,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1996","1996","CAD","Canadian Dollar","0","Units",,,20789,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1997","1997","CAD","Canadian Dollar","0","Units",,,21265,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1998","1998","CAD","Canadian Dollar","0","Units",,,22362,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1999","1999","CAD","Canadian Dollar","0","Units",,,23429,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2000","2000","CAD","Canadian Dollar","0","Units",,,24493,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2001","2001","CAD","Canadian Dollar","0","Units",,,25925,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2002","2002","CAD","Canadian Dollar","0","Units",,,26662,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2003","2003","CAD","Canadian Dollar","0","Units",,,27377,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","CAD","Canadian Dollar","0","Units",,,28386,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","CAD","Canadian Dollar","0","Units",,,29585,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","CAD","Canadian Dollar","0","Units",,,30722,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","CAD","Canadian Dollar","0","Units",,,32486,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","CAD","Canadian Dollar","0","Units",,,34146,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","CAD","Canadian Dollar","0","Units",,,34351,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","CAD","Canadian Dollar","0","Units",,,35241,,
"CAN","Canada","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2011","2011","CAD","Canadian Dollar","0","Units",,,36487,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2004","2004","CZK","Czech Koruna","0","Units",,,150963,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2005","2005","CZK","Czech Koruna","0","Units",,,160619,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2006","2006","CZK","Czech Koruna","0","Units",,,175574,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2007","2007","CZK","Czech Koruna","0","Units",,,193325,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2008","2008","CZK","Czech Koruna","0","Units",,,209239,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2009","2009","CZK","Czech Koruna","0","Units",,,213696,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2010","2010","CZK","Czech Koruna","0","Units",,,217020,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","CZK","Czech Koruna","0","Units",,,217699,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","CZK","Czech Koruna","0","Units",,,218923,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","CZK","Czech Koruna","0","Units",,,224089,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","CZK","Czech Koruna","0","Units",,,231264,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","CZK","Czech Koruna","0","Units",,,241658,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","CZK","Czech Koruna","0","Units",,,254293,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","CZK","Czech Koruna","0","Units",,,271380,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","CZK","Czech Koruna","0","Units",,,291137,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","CZK","Czech Koruna","0","Units",,,309590,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1992","1992","CZK","Czech Koruna","0","Units",,,54156,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1996","1996","CZK","Czech Koruna","0","Units",,,98031,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2002","2002","CZK","Czech Koruna","0","Units",,,137026,,
