Rank,Country,Total,Equities,Asset Backed Securities,Other Long-Term,Short-Term
1,United Kingdom,"2,469",1319,132,927,92
2,Japan,"2,366",728,249,1316,73
3,Cayman Islands,"2,313","1,365",107,697,144
4,Luxembourg,"2,096",1026,66,874,130
5,Canada,"1,850",1348,111,371,21
6,China (mainland),"1,473",273,242,956,2
7,Ireland,"1,399",752,62,403,182
8,Switzerland,1016,629,21,334,32
9,Belgium,874,76,16,740,41
10,Taiwan,697,100,225,366,7
11,France,636,308,29,282,18
12,Australia,573,471,13,81,9
13,Singapore,560,324,18,208,11
14,Norway,546,387,,158,1
15,"Korea, South",536,331,41,144,20
16,Germany,524,313,13,190,8
17,Bermuda,479,127,160,153,39
18,Netherlands,457,305,16,134,2
19,Hong Kong,391,142,11,215,23
20,Kuwait,344,241,6,56,41
21,Sweden,337,280,,56,1
22,Saudi Arabia,311,181,2,108,20
23,Brazil,245,18,,226,1
24,India,218,8,,206,3
25,British Virgin Islands,214,129,3,73,8
